original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
Oasis Live @ Earls Court 1995,0,0.6,0,90.0,0.0,0,,1995,,Music
"Merzbow: Live July 5th, 1995",0,0.6,0,36.0,0.0,0,,1996,,Music
Playboy Video Playmate Calendar 1995,0,0.6,0,55.0,1.0,1,,1994,,
WRC 1995 - FIA World Rally Championship,0,0.6,0,120.0,0.0,0,,1995,,
Oasis - Live Nulle Part Ailleurs 1995,0,0.6,0,0.0,0.0,0,,1994,,
Les Guignols de l'info : Présidentielle 1995,0,0.6,0,0.0,8.0,2,Français,1995,StudioCanal,Comedy
Ajax kampioen! - UEFA Champions League 1995,0,0.6,0,93.0,0.0,0,,1995,PolyGram Video,Documentary
"Iron Maiden: [1995] Sofia, Bulgaria",0,0.6,0,0.0,0.0,0,,1995,,
Death: [1995] Live in Japan,0,0.6,0,0.0,0.0,0,,1995,,
Metallica: [1995] Loud But Secret,0,0.6,0,0.0,0.0,0,,1995,,
"Testament: [1995] Buenos Aires, Argentina",0,0.6,0,0.0,0.0,0,,1995,,
Phish 1995-12-31 MSG,0,0.6,0,0.0,0.0,0,,,,
The Rolling Stones: Live from London 1995,0,0.911,0,122.0,8.0,1,English,1995,,Music
The Rolling Stones: Live from Amsterdam 1995,0,0.88,0,99.0,9.0,1,English,1995,,Music
V6 LIVE TOUR 2015 -SINCE 1995〜FOREVER-,0,0.6,0,170.0,0.0,0,日本語,2016,Avex Trax,Documentary Music
The Final 1995 Rugby World Cup,0,0.6,0,0.0,0.0,0,,1995,,
Timeline: The History of ECW 1995,0,0.6,0,0.0,0.0,0,,1995,,
Machine Head: Dynamo Open Air 1995,0,0.6,0,0.0,0.0,0,,,,
Brecker Brothers: Live in Tokyo 1995,0,0.6,0,123.0,0.0,0,,1995,,Music
British Touring Car Championship 1995 Review,0,0.6,0,180.0,0.0,0,,1995,,
Van Halen - Live From The Molson 1995,0,0.6,0,0.0,8.0,1,English,2009,,Music
Arsenal: Season Review 1995-1996,0,0.6,0,,0.0,0,,1996,,
Echolyn - Live at the Ritz Roseville 1995,0,0.6,0,0.0,6.0,1,,1995,,Music
Breaking Point: Canada/Quebec - The 1995 Referendum,0,0.6,0,0.0,0.0,0,,2005,Mark Starowicz,Documentary
"Badolato, 10 dicembre 1995. Per Antonio Neiwiller",0,0.6,0,14.0,0.0,0,,1996,,Documentary
Arsenal: Season Review 1994-1995,0,0.6,0,,0.0,0,,1995,,
Les Enfoirés 1995 - Les Enfoirés à l'Opéra-Comique,0,0.627,0,0.0,0.0,0,,1995,Les Restaurants du Coeur,
