original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
Playboy Video Playmate Calendar 1998,0,0.6,0,57.0,1.0,1,,1997,,
Le Zapping - 20 ans (1994 - 1998),0,0.6,0,0.0,0.0,0,,2009,,Documentary
Camel Trophy 1998 - Tierra del Fuego,0,0.6,0,59.0,0.0,0,,1998,,Documentary
WRC 1998 - FIA World Rally Championship,0,0.6,0,130.0,0.0,0,,1998,,
"Savatage: [1998] Rio de Janeiro, Brazil",0,0.841,0,0.0,0.0,0,,1998,,
Johnny Hallyday - Allume le Feu (Stade de France 1998),0,0.874,0,0.0,8.5,1,Français,1998,,Music
Death: [1998] Live in Chile,0,0.6,0,0.0,0.0,0,,1998,,
"King Diamond: [1998] Corona, California",0,0.6,0,0.0,0.0,0,,1998,,
"Black Sabbath: [1998] Phoenix, Arizona",0,0.6,0,0.0,0.0,0,,1998,,
Iron Maiden: [1998] Poland TV Special,0,0.6,0,0.0,0.0,0,,1998,,
France - Brésil : Foot - Coupe du monde 1998 - Finale,0,0.621,0,0.0,10.0,1,Français,1998,TF1,
Golden Earring - Don't stop the show 1998,0,0.6,0,108.0,0.0,0,English,1998,,Music
The 3 Tenors in Concert: 1998,0,0.6,0,,0.0,0,,1998,,
1998 FIFA World Cup All Goals,0,0.6,0,,0.0,0,,1998,,
Timeline: The History of ECW 1998,0,0.6,0,0.0,0.0,0,,1998,,
1998: de heertjes Haarhuis en Eltingh,0,0.6,0,0.0,0.0,0,Nederlands,1998,Nederlandse Omroepstichting (NOS),Documentary
Second Heaven: Live At Joaquinzao 1998,0,0.6,0,125.0,0.0,0,,,,
Andre Rieu - 1998 - au Zenith de Paris,0,0.6,0,90.0,0.0,0,,1998,,
Arsenal: Season Review 1998-1999,0,0.6,0,,0.0,0,,1999,,
Niels Ruf: Pest Of Kamikaze 1998 - 2001,0,0.6,0,0.0,0.0,0,,,,
Simply Red - Live in London Lyceum 1998,0,0.6,0,120.0,0.0,0,,,,
AJPW October Giant Series 1998 - Day 18,0,0.6,0,194.0,0.0,0,,1998,All Japan Pro Wrestling,
Berlin Philharmonic European Concert 1998 Stockholm,0,0.6,0,118.0,0.0,0,,,,
HammerFall - Live at Dynamo Open Air 1998,0,0.6,0,34.0,0.0,0,,,,
Slayer: [1998] Diabolus In The East,0,0.6,0,0.0,0.0,0,,1998,,
Dream Theater: [1998] Live in London,0,0.6,0,0.0,0.0,0,,1998,,
Megadeth: [1998] Monsters of Rock Brazil,0,0.6,0,0.0,0.0,0,,1998,,
Iron Maiden: [1998] Virtual Buenos Aires,0,0.6,0,0.0,0.0,0,,1998,,
Anvil Live At Wacken Open Air 1998,0,0.6,0,50.0,0.0,0,,2004,,Music
Victor Wooten: Live at Bass Day 1998,0,0.6,0,140.0,7.5,1,English,2001,,Music
The Rolling Stones: River Plate Stadium 1998,0,0.6,0,0.0,0.0,0,,1998,,
"The Verve - Live at Haigh Hall, Wigan 1998",0,0.6,0,91.0,0.0,0,,1998,,Music
Annie Cordy - 50 ans de succès - Olympia 1998,0,0.6,0,0.0,0.0,0,Français,1998,,Music
Creedence Clearwater Revisited Live Buenos Aires 1998,0,0.6,0,0.0,0.0,0,,1998,,Music
Gorguts Live at the Whisky A Go-Go 1998,0,0.6,0,20.0,0.0,0,,,,
Savatage: [1998] Another Way to São Paulo,0,0.6,0,0.0,0.0,0,,1998,,
Phish -  Providence Civic Center - 04-04-1998,0,0.6,0,0.0,0.0,0,,,,
Sarah McLachlan: Video Collection 1989-1998,0,0.6,0,63.0,0.0,0,English,1998,Sony Legacy,Music
1998 FIA Formula One World Championship Season Review,0,0.6,0,0.0,8.0,1,,1998,,
The Berliner Philharmoniker’s New Year’s Eve Concert: 1998,0,0.6,0,89.0,0.0,0,,1998,Euroarts,Music
The Legend of the FIFA World Cup: 1990 to 1998,0,0.6,0,140.0,0.0,0,English,2002,JMA Media,Documentary
Airbag - Buscando la ola perfecta 1998-2013,0,0.6,0,0.0,0.0,0,Español,,,Documentary Music
Timeline: The History of WWE – 1998 – As Told By Vince Russo,0,1.097,0,185.0,0.0,0,,2016,,
France-Croatie : Demi-finales de la Coupe du monde de football 1998,0,0.6,0,0.0,0.0,0,Français,1998,TF1,
France-Danemark : Groupe C de la Coupe du monde de football 1998,0,0.6,0,0.0,0.0,0,Français,1998,TF1,
1998 New York Yankees: The Season of Their Lives,0,0.6,0,66.0,0.0,0,,1998,,
Blackmore's Night Shadow Of The Moon Live In Germany 1998,0,0.6,0,69.0,0.0,0,,,,
"ZUNTATA LIVE 1998 ""güten Talk"" from the earth ~VISUAL FILE~",0,0.6,0,118.0,0.0,0,日本語,1998,Taito Corp,Music
Tori Amos: The Complete Videos 1991-1998,0,0.6,0,0.0,0.0,0,English,1998,Pink Adobe Productions,Music
France-Italie : Quarts de finale de la Coupe du monde de football 1998,0,0.6,0,0.0,0.0,0,Français,1998,TF1,
France-Arabie saoudite : Groupe C de la Coupe du monde de football 1998,0,0.6,0,0.0,0.0,0,Français,1998,TF1,
France-Paraguay : Huitièmes de finale de la Coupe du monde de football 1998,0,0.6,0,0.0,0.0,0,Français,1998,TF1,
France-Afrique du Sud : Groupe C de la Coupe du monde de football 1998,0,0.6,0,0.0,0.0,0,Français,1998,TF1,
Out of the Blue: The 1998 National Champion Kentucky Wildcats,0,0.6,0,0.0,10.0,1,,,,
Timeline: The History of ECW – 1998 – As Told By New Jack,0,0.6,0,104.0,0.0,0,,,,
Kill All Redneck Pricks: KARP LIVES! 1990-1998,0,0.6,0,83.0,6.0,1,,2010,,
"The Smashing Pumpkins: Live At Fox Theater (Live on August 4, 1998)",0,0.6,0,,0.0,0,,2014,,
世界奇妙物语1998年秋之特别篇,0,0.6,0,0.0,0.0,0,,,,
FIFA World Cup - Les coupes du monde de football - L'intégrale 1930-1998,0,0.6,0,0.0,7.0,1,,2002,,
Paparazzi,0,5.662,0,100.0,5.0,279,Italiano,1998,,Comedy
Hard,0,2.439,264,102.0,5.9,11,,1998,,Thriller
फोजी,0,3.649,0,156.0,5.7,16,हिन्दी,1998,,Action Thriller
Psycho,60000000,23.186,37141130,105.0,5.1,791,English,1998,Universal Pictures,Mystery Thriller Horror
WWE Over the Edge: In Your House,0,4.004,0,167.0,10.0,1,English,1998,World Wrestling Entertainment (WWE),Action Drama
WWE No Way Out of Texas: In Your House,0,3.825,0,154.0,7.4,10,English,1998,World Wrestling Entertainment (WWE),Action Drama
ハンターxハンター,0,5.324,0,25.0,9.5,26,日本語,1998,Pierrot,Animation Action Adventure Fantasy
कीमत,0,1.831,0,170.0,7.0,4,हिन्दी,1998,,Action Comedy
La Coupe De La Gloire,0,1.151,0,86.0,5.3,2,English,1998,Worldmark,Documentary
WWE Fully Loaded: In Your House,0,4.374,0,161.0,9.0,2,English,1998,World Wrestling Entertainment (WWE),Action Drama
The Batman Superman Movie: World's Finest,0,12.756,0,64.0,7.2,187,English,1997,DC Comics,Action Animation TV Movie Science Fiction
Così è la vita,0,9.583,0,108.0,7.5,1160,Italiano,1998,Medusa Film,Comedy
"Santana  - St. Goarshausen, Germany",0,0.6,0,120.0,0.0,0,,1998,WDR,Music
Student Movement In Indonesia,0,0.6,0,43.0,0.0,0,,2002,Jakarta Media Syndication,Documentary
Oasis: Live at Apoquindo Stadium,0,0.6,0,80.0,0.0,0,,1998,Canal 2 Rock & Pop,Music
Enemy of the State,90000000,21.367,250649836,132.0,7.0,3082,English,1998,Touchstone Pictures,Action Drama Thriller
WWE Judgment Day: In Your House,0,3.073,0,162.0,8.9,14,English,1998,World Wrestling Entertainment (WWE),Action Drama
Phoenix,0,6.572,0,107.0,5.2,42,Pусский,1998,Trimark Pictures,Drama Thriller Crime Romance
Dollar for the Dead,0,3.943,0,94.0,4.8,7,English,1998,,Western
我是誰,0,29.067,0,108.0,7.1,647,Nederlands,1998,Orange Sky Golden Harvest,Adventure Action Comedy Thriller
WWE Unforgiven: In Your House,0,2.141,0,162.0,9.3,3,English,1998,World Wrestling Entertainment (WWE),Action Drama
The Patriot,25000000,10.595,0,90.0,5.6,274,English,1998,Baldwin/Cohen Productions,Action Thriller
Lovers and Liars,0,1.4,0,0.0,0.0,0,Deutsch,1998,,Drama
Особенности национальной рыбалки,0,4.087,0,95.0,6.8,67,Český,1998,CTB Film Company,Comedy
The Avengers,60000000,31.346,48585416,89.0,4.4,558,English,1998,Jerry Weintraub Productions,Thriller Science Fiction
Diana Krall - Newport Jazz Festival 08-15-98,0,0.6,0,,0.0,0,English,,,
Great Expectations,25000000,14.995,55494066,111.0,6.6,456,English,1998,20th Century Fox,Comedy Drama Romance
Alabama: 41 Number One Hits Live,0,0.6,0,180.0,0.0,0,English,1998,,Music
風雲：雄霸天下,0,6.557,0,128.0,6.1,68,普通话,1998,BoB and Partners Co. Ltd,Fantasy Action Adventure
新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,0,9.252,0,160.0,7.3,25,日本語,1998,GAINAX,Action Animation Drama Science Fiction
98古惑仔之龍爭虎鬥,0,3.383,0,114.0,6.3,21,广州话 / 廣州話,1998,,Action Crime Thriller
Pocahontas II: Journey to a New World,0,49.339,0,72.0,5.5,1142,English,1998,Disney Television Animation,Family Adventure Animation Romance
名探偵コナン １４番目の標的（ターゲット）,0,15.522,16330622,100.0,7.0,145,日本語,1998,TMS Entertainment,Crime Thriller Animation
Class of 1999,5200000,9.995,2459895,99.0,6.0,165,English,1990,Lightning Pictures,Science Fiction Action
WWE SummerSlam 1999,0,3.262,0,159.0,7.0,12,English,1999,World Wrestling Entertainment (WWE),Action Drama
WWE Royal Rumble 1999,0,4.054,0,163.0,7.2,7,English,1999,World Wrestling Entertainment (WWE),Action Drama
WWE Rebellion 1999,0,3.158,0,144.0,6.0,1,English,1999,World Wrestling Entertainment (WWE),Action Drama
Class of 1999 II - The Substitute,0,4.797,0,87.0,4.4,39,English,1994,CineTel Films,Action Science Fiction
WWE Armageddon 1999,0,2.969,0,169.0,8.0,3,English,1999,World Wrestling Entertainment (WWE),Action Drama
ECW Heat Wave 1999,0,4.605,0,150.0,10.0,1,English,1999,Extreme Championship Wrestling (ECW),
WWE Survivor Series 1999,0,3.082,0,158.0,8.5,15,English,1999,World Wrestling Entertainment (WWE),Action Drama
WWE Fully Loaded 1999,0,2.931,0,180.0,8.0,1,English,1999,World Wrestling Entertainment (WWE),Action Drama
WWE Unforgiven 1999,0,2.183,0,159.0,8.0,2,English,1999,World Wrestling Entertainment (WWE),Action Drama
James Acaster: Cold Lasagne Hate Myself 1999,0,3.924,0,126.0,8.3,13,English,2020,PBJ Management,Comedy Documentary
賭俠 1999,0,2.178,0,113.0,5.2,10,广州话 / 廣州話,1998,B.O.B. and Partners,Action Comedy
1999 A.D.,0,0.961,0,22.0,6.0,4,English,1967,Philco-Ford Corporation,Science Fiction
WWE No Mercy 1999,0,2.243,0,164.0,6.7,3,English,1999,World Wrestling Entertainment (WWE),Action Drama
1999年の夏休み,0,2.266,0,90.0,6.2,6,日本語,1988,,Drama Fantasy Mystery
WCW Slamboree 1999,0,2.044,0,166.0,8.0,1,English,1999,World Championship Wrestling (WCW),Action
WWE No Mercy (UK) 1999,0,2.579,0,136.0,6.0,1,English,1999,World Wrestling Entertainment (WWE),Action Drama
ECW CyberSlam 1999,0,2.015,0,0.0,0.0,0,,1999,Extreme Championship Wrestling (ECW),
1999,0,0.996,0,92.0,3.0,3,English,1998,,Comedy Drama
ECW  November to Remember 1999,0,2.479,0,156.0,10.0,1,English,1999,Extreme Championship Wrestling (ECW),
Spazio 1999,0,1.02,0,0.0,6.8,2,Italiano,1974,ITC,
"Busan, 1999",0,1.262,0,11.0,0.0,0,,2022,,
WCW Mayhem 1999,0,1.652,0,173.0,0.0,0,English,1999,World Championship Wrestling (WCW),Action
R.E.M.: Glastonbury 1999,0,1.4,0,78.0,8.0,1,English,2020,BBC,Music
WCW Starrcade 1999,0,1.635,0,163.0,0.0,0,English,1999,World Championship Wrestling (WCW),Action
WCW Spring Stampede 1999,0,2.126,0,161.0,10.0,2,English,1999,World Championship Wrestling (WCW),Action
John Zorn Masada: Live at Tonic 1999,0,4.113,0,0.0,0.0,0,,2004,,
Áramótaskaup: 1999,0,0.6,0,50.0,0.0,0,Íslenska,1999,RÚV,Comedy
Wiosna 1999,0,0.6,0,7.0,0.0,0,No Language,2000,Akademia Sztuk Pięknych w Krakowie,Animation
1999 Madeleine,0,1.126,0,86.0,5.0,1,Français,1999,Canal+,Romance Comedy
WCW Road Wild 1999,0,2.02,0,166.0,6.0,1,English,1999,World Championship Wrestling (WCW),Action
ECW Living Dangerously 1999,0,2.013,0,166.0,0.0,0,English,1999,Extreme Championship Wrestling (ECW),
ECW Guilty as Charged 1999,0,2.512,0,160.0,5.0,1,English,1999,Extreme Championship Wrestling (ECW),
WWE King of the Ring 1999,0,2.22,0,146.0,8.3,3,English,1999,World Wrestling Entertainment (WWE),Action Drama
WCW Uncensored 1999,0,1.388,0,167.0,0.0,0,English,1999,World Championship Wrestling (WCW),Action
WCW Halloween Havoc 1999,0,1.83,0,166.0,10.0,2,English,1999,World Championship Wrestling (WCW),Action
1999,0,0.607,0,90.0,0.0,0,English,2017,Parábola Filmes,Documentary
WCW Fall Brawl 1999,0,1.709,0,164.0,1.0,1,English,1999,World Championship Wrestling (WCW),Action
"1999, 면회",0,0.662,0,83.0,8.0,2,한국어/조선말,2013,KwangHwaMoon Cinema,Drama
東京BABYLON 1999,0,0.874,0,63.0,5.0,1,日本語,1993,Movic,Action Science Fiction Horror Animation
Geboren 1999,0,0.6,0,0.0,0.0,0,Deutsch,1992,Südwestfunk (SWF),Drama Science Fiction
FERTE-ALAIS 1999,0,0.6,0,0.0,0.0,0,,1999,,Documentary
WCW Souled Out 1999,0,1.461,0,175.0,0.0,0,English,1999,World Championship Wrestling (WCW),Action
ECW Anarchy Rulz 1999,0,1.456,0,156.0,6.0,1,English,1999,Extreme Championship Wrestling (ECW),
ECW Hardcore Heaven 1999,0,1.4,0,152.0,0.0,0,English,1999,Extreme Championship Wrestling (ECW),
Drum Corps International Legacy Collection - 1999 World Championships,0,2.88,0,0.0,0.0,0,,2002,,
ECW House Party 1999,0,1.341,0,142.0,0.0,0,English,1999,Extreme Championship Wrestling (ECW),
1999 - A Conquista da América,0,1.283,0,0.0,2.0,1,Português,2022,,Documentary
Oceano 1999,0,0.6,0,,0.0,0,,,,Documentary
Farewell 1999,0,0.6,0,26.0,0.0,0,,2003,,
InnerCity 1999,0,0.6,0,0.0,0.0,0,,1999,,Music
1999- Red Dog,0,0.6,0,25.0,0.0,0,,,,
Divas Live 1999,0,0.6,0,0.0,5.0,2,,1999,,Music
Sweet Morning Video 1999,0,0.6,0,28.0,0.0,0,日本語,1999,,
WCW The Great American Bash 1999,0,1.887,0,160.0,0.0,0,English,1999,World Championship Wrestling (WCW),Action
WCW Bash at The Beach 1999,0,1.814,0,163.0,10.0,2,English,1999,World Championship Wrestling (WCW),Action
"Metallica: Live in Bogotá, Colombia - May 2, 1999",0,2.278,0,131.0,0.0,0,English,2020,Blackened Recordings,Music
山狗1999,0,0.6,0,81.0,5.0,1,广州话 / 廣州話,1999,,Horror
"יומן מעודכן ,1990–1999",0,0.6,0,150.0,0.0,0,English,2001,,Documentary
Koko in 1999,0,0.6,0,7.0,0.0,0,No Language,1927,,Animation
F1 Review 1999,0,0.6,0,0.0,0.0,0,,,,
Omega Népstadion 1999,0,0.6,0,,0.0,0,,1999,,
Seguimos en pie - 1999,0,0.6,0,0.0,0.0,0,,,,
Metallica: [1999] Live at Woodstock,0,1.213,0,112.0,0.0,0,English,1999,,
"WWE: The Best of SmackDown - 10th Anniversary, 1999-2009",0,3.645,0,540.0,10.0,7,English,2012,World Wrestling Entertainment (WWE),Documentary Action History
Prince: 1999 Live In Houston 12/29/82,0,1.4,0,69.0,0.0,0,English,1982,,Music
Party in the Park 1999,0,0.851,0,155.0,0.0,0,English,2002,TDK Mediactive,Music
1999-2000 NBA Champions: Los Angeles Lakers,0,2.173,0,58.0,0.0,0,English,2000,NBA Entertainment,Documentary
ECW Heat Wave 1999,0,0.6,0,156.0,0.0,0,,1999,,
Vale Tudo Japan 1999,0,0.6,0,,0.0,0,,1999,,
"21st of November, 1999",0,0.6,0,15.0,0.0,0,,2021,FINREALISM Films,Crime Mystery
Formula One 1999 Review,0,0.6,0,0.0,0.0,0,,1999,,History Documentary
1999 World Series Film,0,0.6,0,58.0,0.0,0,,,,
Love Lies Bleeding 1999,0,0.6,0,90.0,0.0,0,,,,
Fête des Vignerons 1999,0,0.6,0,0.0,0.0,0,Français,1999,RTS,Fantasy
"LOST NATION, January 1999",0,0.6,0,18.0,0.0,0,English,1999,Zap-O-Matik,Documentary
"Black Sabbath: Burgettstown, PA 1999",0,0.841,0,0.0,0.0,0,,1999,,
1999 - WISH YOU WERE HERE,0,0.6,0,0.0,0.0,0,,,Beauvoir Films,
Genesis Behind The Music - 1999,0,0.6,0,0.0,0.0,0,,,,
Die Fantastischen Vier - Rockpalast 1999,0,0.6,0,0.0,0.0,0,Deutsch,1999,,
Impaled Nazarene - 1999: Karmakeddon Warriors,0,0.6,0,0.0,0.0,0,suomi,1996,Osmose Filmes,Music
Chelsea FC - Season Review 1999/00,0,0.6,0,105.0,10.0,1,English,2000,Pearson Television International,Documentary
"Metallica: [1999] Plovdiv, Bulgaria",0,0.6,0,0.0,0.0,0,,1999,,
"Nevermore: [1999] Houston, Texas",0,0.6,0,0.0,0.0,0,,1999,,Music
"Nevermore: [1999] Melbourne, Australia",0,0.6,0,0.0,0.0,0,,1999,,Music
"Slayer: [1999] Las Vegas, Nevada",0,0.841,0,0.0,0.0,0,,1999,,
Manchester United Season Review 1999-00,0,1.4,0,0.0,7.0,1,,2000,,
"Westernhagen - Live (Rhein-Stadion Düsseldorf, 1999)",0,0.6,0,0.0,0.0,0,,2007,,Music
Les Enfoirés 1999 - Dernière édition avant l'an 2000,0,1.211,0,0.0,0.0,0,,1999,Les Restaurants du Coeur,
Babymetal - Live Legend 1999 Yuimetal & Moametal Seitansai,0,0.987,0,75.0,10.0,2,日本語,2013,,Music
"Beside the Water, 1999-2004",0,0.6,0,12.0,0.0,0,English,2018,,Documentary
Motus Mix (1993-1999),0,0.6,0,0.0,0.0,0,,1999,,
Altered States (1966-1999),0,0.6,0,0.0,0.0,0,,,,
Jonny Lang: Live at Montreux 1999,0,0.6,0,55.0,0.0,0,,1999,,Music
L'Arc-en-Ciel: 1999 Grand Cross Conclusion,0,0.681,0,103.0,7.5,3,日本語,1999,,Music
Aoki Ryuusei SPT Layzner: ACT-II Le Caine 1999,0,0.6,0,55.0,0.0,0,,1986,SUNRISE,War Action Adventure Animation Science Fiction Drama
Cht du Monde F3A 1999,0,0.6,0,0.0,0.0,0,,1999,,Documentary
Todos los años son 1999,0,0.6,0,18.0,0.0,0,Español,2021,,Drama
Bush: 1994 to 1999: Live,0,0.6,0,0.0,0.0,0,,2002,,Music
ECW Crossing The Line 1999,0,0.6,0,134.0,0.0,0,English,1999,Extreme Championship Wrestling (ECW),
1999 Rugby World Cup Final,0,0.6,0,81.0,0.0,0,,,,
1999 Journey Through Tornado Alley,0,0.6,0,64.0,0.0,0,,2011,Storm Productions,Documentary
"American Terrorist: April 20, 1999",10000,0.6,0,45.0,0.0,0,English,,,
Playboy Video Playmate Calendar 1999,0,0.6,0,58.0,1.0,1,,1998,,
Budka Suflera - 25 lat Spodek 1999,0,0.6,0,0.0,0.0,0,,,,
WRC 1999 - FIA World Rally Championship,0,0.6,0,130.0,0.0,0,,1999,,
Lebbis en Jansen - Einde Eeuwsconference 1999,0,0.6,0,0.0,0.0,0,,1999,,
Crimson Classics: 1999 Alabama vs. Florida,0,0.6,0,,0.0,0,,,,
Deep Purple - Total Abandon Australia 1999,0,0.6,0,107.0,0.0,0,,,,
Untitled 1999 Women's Soccer Team Project,0,0.6,0,0.0,0.0,0,English,,Ross Greenburg Productions,Drama
"Iced Earth: [1999] Detroit, Michigan",0,0.6,0,0.0,0.0,0,,1999,,
"Iron Maiden: [1999] Gothenburg, Sweden",0,0.6,0,0.0,0.0,0,,1999,,
"Iced Earth: [1999] Columbus, Ohio",0,0.6,0,0.0,0.0,0,,1999,,
"Iron Maiden: [1999] Hamburg, Germany",0,0.6,0,0.0,0.0,0,,1999,,
"Mercyful Fate: [1999] Santiago , Chile",0,0.6,0,0.0,0.0,0,,1999,,
"Black Sabbath: [1999] Seattle, Washington",0,0.6,0,0.0,0.0,0,,1999,,
Metallica: [1999] Live in Kiev,0,0.6,0,0.0,0.0,0,,1999,,
Journal Vidéo 23/05/1999,0,0.6,0,0.0,0.0,0,Français,,,
The Jeff Healey Band - Live at Montreux 1999,0,0.88,0,107.0,6.0,1,,2005,,Music
Le Zapping - 20 ans (1999 - 2003),0,0.6,0,0.0,0.0,0,,2009,,Documentary
RMHC - 1989/1999 HARDCORE A ROMA,0,0.6,0,76.0,0.0,0,,,,
Tooth & Nail Videography: 1993-1999,0,0.6,0,0.0,0.0,0,,2000,,
Timeline: The History of ECW 1999,0,0.62,0,0.0,10.0,1,,,,
Gary Moore: Live at Montreux 1999,0,0.6,0,0.0,0.0,0,English,2007,,Music
AJPW Super Power Series 1999 Finals,0,0.6,0,148.0,0.0,0,,1999,All Japan Pro Wrestling,
NBA Champions 1999: San Antonio Spurs,0,0.6,0,58.0,0.0,0,,2014,NBA Entertainment,Documentary
"Red Hot Chili Peppers: [1999] Moscow, Russia",0,0.915,0,0.0,0.0,0,,1999,,
DAVID LEE ROTH – RANTAROCK FESTIVAL 1999,0,0.6,0,0.0,0.0,0,,,,
Suede - Head Music: Live in Tokyo 1999,0,0.6,0,55.0,0.0,0,,1999,Suede HQ,Music
Arsenal: Season Review 1999-2000,0,0.6,0,,0.0,0,,2000,,
Soulfly - Festival Live At Sydney Australia 1999,0,0.6,0,44.0,0.0,0,,,,
Dream Theater: [1999] Triport Rock Festival,0,0.627,0,0.0,0.0,0,,1999,,
1999 FIA Formula One World Championship Season Review,0,0.6,0,135.0,0.0,0,,1999,,
Black Sabbath: [1999] Live in Pittsburgh,0,0.6,0,0.0,0.0,0,,1999,,
Theme Parkology Presents Disneyland 1990-1999,0,0.6,0,61.0,0.0,0,,,Theme Parkology,Documentary
Tom Petty & The Heartbreakers Live at the Docks Hamburg 1999,0,1.165,0,150.0,0.0,0,,1999,WDR,Music
Death in June: Live in Italy 1999,0,0.6,0,64.0,0.0,0,,2003,,Music
Janne da Arc Chaos Mode Tour 1999,0,0.6,0,0.0,0.0,0,,,,
Marilyn Manson: Big Day Out 1999 Live,0,0.6,0,62.0,0.0,0,,,,Music
1999 NCAA(r) Division I Men's Wrestling Championship,0,0.6,0,0.0,0.0,0,,1999,,
Timeline: The History of WWE – 1999 – As Told By Sean Morley,0,1.374,0,93.0,10.0,1,,2012,,
Red Hot Chili Peppers: [1999] Bizarre Festival,0,0.6,0,0.0,0.0,0,,1999,,
Kiss [1999] Psycho Circus in Buenos Aires,0,0.6,0,0.0,0.0,0,,1999,,
Nevermore: [1999] Dreaming Neon Black Release Party,0,0.6,0,0.0,0.0,0,,1999,,Music
Dream English Kid 1964-1999 AD,0,0.6,0,23.0,0.0,0,,2015,,
William Wegman: Video Work 1970-1999,0,0.6,0,236.0,0.0,0,English,2006,,
Mylène Farmer : Les Clips L'Intégrale (1999-2020),0,0.6,0,0.0,8.0,1,English,2021,Stuffed Monkey,Music
"Décembre 1999, Ramadan 1420, Une faim de siècle",0,0.6,0,26.0,0.0,0,,,Yenta Production,Documentary
The Berliner Philharmoniker’s New Year’s Eve Concert: 1999,0,0.6,0,89.0,0.0,0,,1999,Euroarts,Music
Charles Aznavour ‎– Anthologie Volume 2 (1973-1999),0,0.845,0,0.0,0.0,0,,2014,EMI France,Music
Bob Dylan & Phil Lesh & Friends – Baltimore Arena 1999,0,0.6,0,94.0,0.0,0,,2020,,Music
"Tehching Hsieh: One Year Performance, Art Documents 1978 - 1999",0,0.6,0,,0.0,0,,2000,,
Califórnia Brasileira - O Hardcore Punk em Santos 1991 - 1999,0,0.6,0,116.0,7.5,1,,,,
Rage Against the Machine: [1999] Coachella Music Festival,0,0.6,0,0.0,0.0,0,,1999,,
Gala UNICEF 1999: A mis niños de 30 años,0,0.6,0,,0.0,0,,1999,,
Gackt: The Greatest Filmography 1999-2006: Red,0,0.6,0,54.0,0.0,0,日本語,2006,,
Gackt: The Greatest Filmography 1999-2006: Blue,0,0.6,0,65.0,0.0,0,,,,
Amazin' Again: The Official 1999 New York Mets Highlight Video,0,0.6,0,0.0,0.0,0,,,,Documentary
Fêtes des Vignerons 1905-1927-1955-1977-1999,0,0.6,0,0.0,0.0,0,Français,2019,RTS,Fantasy
Depeche Mode: 1999–2002 “Presenting the Intimate and Delicate side of Depeche Mode”,0,0.6,0,32.0,8.0,1,English,2007,,Music Documentary
"Banjo-Kazooie: The New Adventure Begins June 30, 1999 (Toys“R”Us)",0,0.6,0,11.0,0.0,0,,1998,,
La última década del siglo XX (1990-1999),0,0.6,0,58.0,0.0,0,Español,2001,,Documentary
NUMBER GIRL 1999 US TOUR (Live at SXSW) Limited Edition DVD,0,0.6,0,18.0,6.0,1,English,2005,,Documentary Music Adventure
Blur: The Singles Night – Live at Wembley Arena 11 December 1999,0,0.6,0,90.0,10.0,1,English,1999,Parlophone,Music
"Laurie Anderson: Moby Dick 1999-04-30 Dallas, TX",0,0.6,0,0.0,0.0,0,,,,
少女地獄一九九九,0,3.304,0,65.0,5.5,12,日本語,1999,Japan Video Distribution (JVD) Co. Ltd.,Horror
Timeline: The History of ECW – 1999 – As Told By Rob Van Dam,0,0.6,0,144.0,0.0,0,,,,
Barbara hört nicht auf - Bau des Gotthard-Basistunnels (1999-2016),0,0.6,0,0.0,0.0,0,,2017,merloVIDEO,Documentary
Les Colocs : Festival d'été de Québec 11-7-1999 - Le dernier show,0,0.6,0,0.0,10.0,1,Français,2009,,
世界奇妙物语1999年春之特别篇,0,0.6,0,0.0,0.0,0,,,,
世界奇妙物语1999年秋之特别篇,0,0.6,0,0.0,0.0,0,,,,
La Historia de River Plate - Libertadores y Supercopa (1987-1999),0,0.6,0,0.0,0.0,0,Español,,,Documentary
"Death In June: Festivals End As Festivals Must (Live in Athens, Hellas, May 21, 1999)",0,0.6,0,0.0,0.0,0,,1999,,
Dir En Grey: 1999.12.18 Osakajo Hall,0,0.6,0,0.0,3.8,2,,2000,,Music
GAMERA1999,0,0.841,0,140.0,0.0,0,日本語,1999,,Documentary
WWE Over the Edge,0,4.222,0,144.0,7.3,8,English,1999,World Wrestling Entertainment (WWE),Action Drama
2-Spirit Introductory Special $19.99,0,0.6,0,5.0,0.0,0,,2015,,Comedy
कौन,0,2.775,0,100.0,5.9,14,हिन्दी,1999,Kshitij Production Combines,Thriller Mystery
Мама,0,1.361,0,100.0,6.2,5,Pусский,1999,Obshchestvennoe Rossiyskoe Televidenie (ORT),Drama
Le Corsaire,0,0.6,0,0.0,0.0,0,,,,
モーニング娘。'99 Memory 青春の光ツアー,0,0.6,0,101.0,0.0,0,日本語,1999,,
Jackie's Back!,0,3.87,0,91.0,7.3,4,English,1999,Lifetime,Comedy Music TV Movie
International Khiladi,0,1.861,0,160.0,5.1,9,हिन्दी,1999,,Action Thriller Crime Romance
Zulmi,0,1.459,0,0.0,6.5,2,हिन्दी,1999,,
学舎エクスタシー　昭和女子大学人見記念講堂　1999.11.07,0,0.6,0,77.0,6.0,1,English,1999,,Music
Journey Through the Black Sun,0,1.96,0,89.0,6.3,2,English,1982,ITC,Science Fiction
संघर्ष,5800000,3.069,1400000,127.0,4.4,16,हिन्दी,1999,Vishesh Films,Thriller
